Marca temporal,Carrera,Semestre que cursas actualmente,¿Cuál es la razón por la que te interesaría cursar alguna materia en el periodo intersemestral 2025-4?,¿Has cursado anteriormente un curso intersemestral?,Curso intersemestral que más te interesa cursar (OPCIÓN 1),"Segunda opción de curso intersemestral, si aplica (OPCIÓN 2)","Tercera opción de curso intersemestral, si aplica (OPCIÓN 3)",¿Qué dificultades has enfrentado (o crees que podrías enfrentar) al cursar una materia en intersemestral?,"Desde tu experiencia (o expectativas), ¿cómo valorarías la calidad académica de los cursos intersemestrales en comparación con los cursos regulares?",Justifica tu respuesta anterior,¿Qué condiciones crees que deberían garantizarse para que un curso intersemestral sea exitoso y justo para los estudiantes?,¿Te gustaría que se volviesen a impartir cursos intersemestrales de optativas del plan de estudios de Física y Física Biomédica?,"¿Consideras que debería cambiarse algo en la forma en que se organizan, asignan o anuncian los cursos intersemestrales? ¿Qué propondrías?",Algún comentario adicional sobre los intersemestrales,Token 
17/5/2025 14:44:26,Física,Octavo ,Avanzar créditos ,Sí,Matemáticas Avanzadas de la física ,Dinámica de medios deformables,Laboratorio de electronica,Ninguno,5,Se ha abarcado bien lo necesario de los temarios en tan poco tiempo ,Más horarios flexibles ,"Sí, me gustaría y los tomaría",Avance de creditos tal vez,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""0c6dc8141b6b505ed0125e2f48051a2b31b2e1919133481c6d2a9483884a7732""}
-----BEGIN SIGNATURE-----
vDt9PwZ6SYKk4iA6XfDtMYFjUgx2royhOhx0TtO5INXsNCd4ks5UfZdsqltsD+DEothpl01LYdb4x5pneWEgjIYqEkgEwgYISBBbn+djejnoIxt1S9WeLIRdI/oayX0ZFDHfMA/4JJ+ShS6r8H0i19Z42mMy7puz+0alYZ7LZQcjI/Fa5wla1ByvzKxOh0fKfUinds/TnUFv3nROVUsWkacT6WymPo8H7diOakRiBwfA+ZLsVXLKPPJ0O1DEi56a+F+A2G6haHoSwNOTEJfWPDTf8UJZy+abDBYgfU5+gi+TNYyxjlrjLNFmWOitUKqlFBl117Zb7/G9kGq75jg5NUKU6Pz0rpnUL3T2QsunQYqRJr1MxeubdlNAcAKyDa0HGQil5FNQNPMYXXffWc+bCix1V/Ecvk8LA64dvV2551AGgmyiMWQj6h24akDCT0+u0zOZM/HkQPsbS+M+rdaycHV5s7jDN8nO0gofk+xlFUvE8xNlYHEMsusYOwxnNS/uEUE+SLN19AO8uIHDrDJM7RhUgkpjfMfsZT0tZ1b/bOw+jImO4xhZxyW26+qaWCgaIwxhYREqXAmOycYZzYGP8FU1cA1QYyYgIZyGHrb8vojVQkpD3lWMIaINxm4lTcy1MhbH8b0lqCeyzbC3hF6comJMfPBgmbOkzutCy0rX0hc=
-----END SIGNATURE-----
###
"
17/5/2025 14:57:44,Física,11,Para poder terminar mis créditos en el semestre 2026-1,Sí,Estadística ,Mecánica Analítica ,Laboratorio de Física Contemporánea II,Los horarios ,4,,,"Sí, me gustaría y los tomaría",,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""ad63b255ea7761d2da56e8128fe0c1598de5031b912579b99d9e06753bb9a43e""}
-----BEGIN SIGNATURE-----
I04KdAVOHbf4B6KNpP6IA/COGuCWhQrlQAWhkfBTtZdezmTiuhs1hqIwsElvjPqiAnPvxsjaRfrYO15+WC7UkhpV6LESctCr8N7iQZzI6hENXIlsDGS1MaZwH75zamfTyprKCdrxeWE+vzud4DpWBu1ljVFeKo/aj1oF1QBM5bgUnrpere3AI9SwnTE/X8c/M7geD5p5A22HSJhZXSF/p/9d1Zz27ckXbvXzHEfUGxz540IHjTTUhxNkhEyufF4DnsxFBE+SZKMFlHKiQZUmxm4A/5TvYUjHAi7L9AbA2uyfZLz0MWAVb4EQwzQwaMS2tzPo9WRt6I62HYhJDMYjw1EeqYbwahfJeW7SzFUtbY7jyWCy/oFSPDcYFf4H4Whc1tVxmUIbnc09gcPVV+dHtNpTQIBNsk18wO/6kdxN19nDzBqSFn26Xl3xjVzOTxwCCGwTfiQUWoczeo77Ez1AsWOPbjr4jA86lwEWfVp/j4lwcUTHsE3A55VYt8JlsaK4q7EYQ5BoXdf+TUcZgNaeMZQkTQQT0h6GQsPX1i121llimweVlgch4clbtwg7xKfQbv0bTJOVFa9i5oujxQLBJ4bxEvrvMBnlAa2BaGSrfPBE/5ooXblnvloFWXRdzSmUtnBs3myYUrWZaUh7YkTJLTzpo+c9RL9f1y9RocKvNJs=
-----END SIGNATURE-----
###"
17/5/2025 15:04:07,Física,4to,Para cursas las materias que debo,Sí,Electromagnetismo ,Laboratorio de fenómenos colectivos,,Los horarios poco accesibles ,4,"Considero que se aprovecha más el tiempo, así mismo se aprende de mejor forma desde mi perspectiva ",,"Sí, me gustaría y los tomaría","Si, avisar con mayor tiempo, así mismo cambiar las fechas de registro para dichos cursos",,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""6454380ecec044f16b1ac8ab54426e2a61592abbe7c72fad9267408959f16272""}
-----BEGIN SIGNATURE-----
kdD7ilPJU2KrPbhyWb98sC1UkUQtKkXwoc9aJqLgepIqtQjfNzNiHwzSmfcOVKHjim4PwJs+xyMp4YPFc4e5hyV5Gx4JJsipj0MvNcPjmZgg0bmwGo2mQufqWu6NJU/vbLZNoUdWdZo+chW0YpXfrdofzlK/eWVBjguERWojZ+gNH8ycC+LQdnWqHHhV6pOxV+WKXssNSWY3m5rgm4e1QdY9Eroggbd8/0IZPBPMN0R066sPvjHloqxXtDGzwi+XLCzOOX3xlUJuYg24mvr9VuvQa1iPHUix3jScr3b+hO8VmdK391GFlKn8cSh5lNzvAj0edu+7je9kSmyCg8bFQuwEGGZki35HfxzaFFj9E84oIm2Va4QJnRtSNiKqtPAvNFWjXvVCVAC679K8wdTTvUC6o/e5zgiWnTKSaJTdZPpfLXUkJlLWIRSXT46uvMh/Zi4KM/6gDeChipP18yUdVf14a9hOPBLizwYbT8Ayl5/lAKtwgJsQDQdfITDWmq21oB079gDSE/8bm1svVBjhdjVSmrTv49nBwxRxt8EjYc6zSNtaozdoeZMSIuEqN0gjtYhZGg20siDWJC+i4gGSNkgsi8rnj6CA4ocjNtVOtTuhIl2Aokc/vxIs8nP1qncgSIqzbkvCGTCTo4LQbo/0C03LLkJUfR4QKUd2Ym5vQTw=
-----END SIGNATURE-----
###
"
17/5/2025 15:14:36,Física,5,No pasé una matéria,No,Variable Compleja,Laboratoire de électrónica,Óptica,Ninguna,4,Ya que solo te enfocas en una materia o dos,Ayuda y asesorías para ir a avansando de manera eficiente,"Sí, me gustaría y los tomaría",Sí má difución y cupos parar los estudiantes ya que en intersemestrales antérieures no he alcanzado cupo,Qué abrán más cupos para ya atrasarnos más,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""6f6de689c19bfe246b2f7790db5b84534e7a7e8fa2c852c6d71b8dd7f0e6de3d""}
-----BEGIN SIGNATURE-----
S7wX0Iq9rM/PGSiN1U4vJMOpjtmESDX2qJFFrnogrV8fstWdTc9knTCgTah71qzoajLthCwCVm9PB2/aQ5+EwyfBf3m1t5iK+9FLgyl+iYxFc3kZAR1VdI9EyxXwz87BIMWSljtnTngIP3D1E/RAIeqvPyxs6Ay660QDmO7T5DPORq5TtUG8Oj9TofhHLS0jwdkH3aO5GSFXno/n8gLTHYzK8BbVCOcNx00UgEQowm/8+ch1cCWcEdQNk/L8nxB16ysk8OKwzLNSP0jSojuPaES695CCxRwVj+hkRx1YsFD2p3XKrWH+2t570ukkr+XZY0+dDfgFoiixFQj9Z2eOPyE998wDRrJhokVw3XbzdnE5xjoeh4x35yFYYZKLwghDajgmwQFWRhgYEnoD5SL0/dTjPFlNm1Hx0PpJwg71Y1d2famg8j4DRHiVJdPp9iNlMI91sZbbLKxJTCxGC7G5jr3FwOBcd9bye2steAgyuVfkw1WB2E4sKjW9RRJHCvmvRED1rtgNCCyDsjQYkSOTiNNBDrMa5pJlZLpsOpqbqp/M62FBhzAutwXm2JcdYtm/Ud9ZdS9hQdUOry+QGpZyuczQ0lVjtEkgVgG91+vnJhTybldc6bQn/cGQUh10QMnkETi0IIVXjWfyjUvhLnspGXg+0LuIczCKoehat6Ww8jY=
-----END SIGNATURE-----
###
"
17/5/2025 15:21:20,Física,7,Ponerme al corriente en materias,Sí,Laboratorio de electrónica,Física atómica,Física Computacional,No encontrar alguno que pueda cursar,3,Temas estudiados muy específicamente y no para un intersemestral,"Alomejor temario diferente para intersemestral y para semestre normal, saltando algunos temas",No lo sé,Talvez agregar un curso de cada semestre o lo más posible,Promover a más profesores dar estas clases,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""2b4fe39a1f471dbb614c085cf02a17f17f901e2af7a2751876978e2126f197b5""}
-----BEGIN SIGNATURE-----
t/VLyidOC+znvRQLrJKC6tBInqW68vqxmGfbg/66h2RAL5/OJqyNTDcOgH3cfETElxF9DMwoi1GhH74x4bA3+xMwOuh8UtYXHi7cez539UcmurLT3mFFwqcLxPIlZivaKAxYvDjnOGN7Vf6K7J9ZJAMLylHfVBfz7MoYFqO63n9TbJivvpsOST3BSXLrnUTN6//b38YaDcor+GM2CV1TEx7Hf7OtwPiBVPC488pTcLjFajJuvz2IWRWcCuSd1YaBiaXIuoiqJllmrKgHH5rLsvXJIM8ZsQgMgraWMPS2WDyk89n4nDsBddh6kadjscmXpB/eoNuNDRy/ji9k9TEPnP8EtQCeoacmNIMepfMm0uY5e9RTtyTvhxD5XTSDpMH9yvvBOkMFlXiga844UZoqAENwwlRb3S3fxN7b71iIgn59JyX/+ZWZyz2x+XiMaQTpXFBk0/KAd7gYQ0VuJEcFP7EvTBUaW7hRmhT55nETNCTP+9IQY+GBp+eBvqaBwHWVigO1LQGtDnGxvJRaSp/gqocLK0IxtNKSV1Z/6BzfLWRP2bBrC13gpVgVt/97BEDkeIhqrXX6CXW/jhsrSSJFQlM5LXAZ1bWAomjyYm3DO4mLXrLJpGL8B170KUml8Lhxfi+f1G2JYwGIjZkZfJKcK2r+bppHUPPrvHGVP9twCRo=
-----END SIGNATURE-----
###
"
17/5/2025 15:21:44,Física,Cuarto,Pasar materias que debo,No,Laboratorio fenómenos colectivos ,Fenómenos colectivos,Laboratorio mecánica ,El horario me gustaría después de las 10 am  y terminen a más tardar las 7pm,3,pot el poco tiempo que se da la materia ,La flexibilidad al evaluar,"Sí, me gustaría y los tomaría",Que se habran más cupos y materias,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""5bd6e68b74baec97599a96838660ea9d1e20c4fdd0e52d194b08ab45834824cf""}
-----BEGIN SIGNATURE-----
Mci1tF+oSI/9x/G9S9Xs1cz84AMwFGba5iVMz0GdV+EYEPtkUeZzjX7OoaaaCwIxMgpUupUvZpaPWivuWsa9i2CLeyvXvhSKKaOo1uiUJe8u5IHIXtikdsEo9p+pOOosnYUJFPpUF9h/Nt5rUiUu5wrKMeescCeZ7vNUEkhqwF5KIY4omuKKgWqAcJEGkxbn/sKWDibElUuIT3HBCr6xkaoXBInjEqWRDup2/dL2gOSI65sBTQTadp6kpcgPJrRD/IhoxbjSkKFixzuZY9q9G6dOgslVlpYOWgEN32JDySAyMBLGuUcrT+y6m/LAScW1/Unb7njgUQrlFbeG/NqzX635dq7rdJ6bUMVeMx9A58jokBVbE5pNJoaZAFYBaVNK/GOfnZRny3gNolelGWhWQeC4Y5c7qFFWn9X4Fbg1xxcHPLYEczumdiFJbVGcUlmBzeqzyVg9JBOE2Py7x2dHSW7WgUveClOKxWdN6kCvy9opiHTrswGoZsQbuP+A1wmPBfIxjQdAtvZYNXdSr30JySRUFZRxZ6kI18Pxvh3tz6Hl724HpZZs+OX9TUpsw6dClmyVBDMqIkEfMTp0ogIxQQj8aKLNhcHZlDlQ7leRKNw0B9xPW7wzTXnVEfEqVDi6378L3TPihW3aMJgRSDw7EqEuJcHlpilqEpqtzyriZuc=
-----END SIGNATURE-----
###
"
17/5/2025 15:25:30,Física Biomédica,2,Disminuir carga de trabajo,Sí,Algebra,Calculo 1,Geometria analitica 1,,3,,,"Sí, me gustaría y los tomaría",Muchas veces no me llegan correos de la apertura de intersemestrales. Que se aseguren de arreglar ese problema ,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""59f4358f57aa547efa0ada6165113d94a4ccd73b83e478ea7746a9846e4b90b8""}
-----BEGIN SIGNATURE-----
sF88kibOtQSQAiSwbZuV0YUZP9yeeUpLwg9pke65mb+XGRU/xW5hTFdNowrlEAbBIgwySEw7vin5LD9OsamWqTHm+TCKpbAg/Swdj/+4XIScyTh/YchZ0HP0Cur2lcveKNAbpCtkSGCsagAvzrIK4UhVSU0Bm14PSmcj6/6p97NPWHWHK4lR1SPhS2F8u/E0JM/DOxrXkTGGrJUEMVY8vaERZp69jvKXS1s+pXgmOsuX3o2LSgGd0hyS4LDQuQkeiDFrxxJ4r3jJDbI7Isn8IFMFllsSNTdnmm8TZ19ElfepBEL5m4n7UV4GA8JO/b9wm4NPobRcpxg2uYSm1N94NE3ZjGtynEUfhdFeGvZxoCE7gFAMCnnXtWXoKBD8h2ZZbs0HuD+Dk2RPe1nYjwPGzKvX/zOWcqBTzkYTRNN3kaLXwvcUG0+6WWs+eqzkW2EgJZd9hkRqoLc/FuMHQSf05kMiB4XCeOhY+rGkr+1RjYKATu4o+cGPCXE5eOrM8fdFBckQUrkITP1+CIJcambY5bwVLRxfidQOj3iu6AiO8ihefbATSxKrTMoOBVrOb9dKSSgJEQtFCllZMxe3M/tc/DWAid3u6Loil1fZJsK79DMPaRxp2QbpLRXVT9w+lvlS+yRcjepwT1JODNUs0OziWEugatir0JtkvykgRaS7rPM=
-----END SIGNATURE-----
###
"
17/5/2025 15:26:36,Física,8vo,Avanzar en mis créditos,Sí,Laboratorio de Mecánica,Óptica,Termodinámica,"El problema de la comida, sin la beca de apoyo alimenticio gasto mucho en comida ",4,"Depende la materia, pero he tenido buenos profesores ",Que se dé el tiempo necesario y que haya comida económica al alcance ,No lo sé,,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""a3ceeebf37c0d80e92e321ae10faee8721955989df946c68be04a6f40c0868d6""}
-----BEGIN SIGNATURE-----
Sq+CCd73OHiFPTKiV1MCPUMOG7pjmJqHJX5Te+QwjxnmGDe47GnkHIGK6wLX2HXkZeGj9cQwZbKlnnrvKN4RQ+CsITzBm30spSx5XoHML1H2UpZRziXY6OYmldhZl5QKXc0ipX8zEoBcZkg8TEwPo15LK9e+xX/t91pStbHHFqIBu7jHEEHyx0nmTmwru8TkEuVoedxmkEn7m2VkbY0xpBNRn3MdRC5WLyWTgfDACB5NzHBptJanUxtUQnIKOlvf/1h5fQC5TJhc5NjhCCZUVrr5Xt2XNtScIAVTFqzzJpiD54PX/4PVUHaodtL5ogJm5Qru6m/CONSSere/T60sPXkclflYyVcAtMhORL5moDFc41PFbX3t4T3WWYrYPMYVEapDvCx9a1mgTQJJTkmG0/0ke2J/eb2cIfGlHw8taOmfzyrFqGwzf6eCA1ypH1PJSpuq6e42PxZtbLLdNfEdy2ghiCKzOPUQrStBB3oQPj86hqWpEtQq91nT0a39M4fazp5jKD2QGrixhfcbh18Ml3a2xsx8Hph2bs0BkPeIJFs3unRLTFtoWTJS7wNrLC9bU5sauuuRRwehEBRohcr9dh19a2vqfHwKkq71hoYdS7hSAcCAVTtJwQYgpLq3cIKPrmKWRhViKR0K24heT57h1BSKNrFrGea/6nXEdbgtCok=
-----END SIGNATURE-----
###
"
17/5/2025 15:38:53,Física,5to semestre. ,Para avanzar en créditos y aprender lo que pueda de algún curso que haya cursado antes o aprender de un curso nuevo en este formato intersemestral,Sí,Laboratorio de Mecánica ,Laboratorio de Electrónica ,,Creo que las evaluaciones con un corto periodo de tiempo de separación,4,"Siento que solo me puedo concentrar en una materia, mi tiempo y mi energía pues se centra en esa materia, lo cuál me favorece, tengo tiempo de estudiar el mismo día y al siguiente preguntarle al profesor/a y/o ayudante. ","Los ""breaks"" cuando ya son más de 3 horas seguidas, que se comparta el tiempo por tema que se dará en el intersemestral, que haya espacio para discutir lo estudiado, que haya material de lectura, qué haya más formas de evaluación que un examen, qué el ambiente sea seguro con los compañeros/as.","Sí, me gustaría y los tomaría",Qué si hay muchas personas que quieren un curso o laboratorio se abran los grupos que sean necesarios para que tengamos un curso donde todos podamos aprender y tener el espacio para involucrarnos tanto nosotros como los docentes. ,Ojalá se tuviera la organización de la institución y la responsabilidad de los estudiantes para tomar dos cursos intersemestrales. ,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""0b3bf8eba9e3356e0c0c839c30f2ee16d0c8342127b3196f11f6b04b785ec7a2""}
-----BEGIN SIGNATURE-----
g4F5z1PZpwLUhWgcTlLqY2sctYoWVw0r07TGrQk9L622bIwmdx5hrvPRtRuUhbcEFz74tld4CVRGdJNwi6vj3oqNu8kYZ5Q29EKRD97zOvhojc2csW4xaoRzTi4cjvSaAt4lhGPWqF9GGZmOZg+ZqxvoGmRsfbsl5USx6Bvm3QhWM2YgeagmWCb0xdY525+AmFuk5mcDTo2yiywAc/10CzPEDStKkzBYm30X2jPdC+bI1sBO2nYjT2UBEdsZO6AD30HkQybc0Kfzk6y59Y3jGl5rkifSBaPLnMLDPVvKzGbHsdYIqZdwERAOK18823uBEfDKOERPBudSq2k5LVTT01AYTjv1byCBqJBdLq8k+bC9DeRsGdBEoZCcM/4IkQyrAEGuTqN0BOTirFkxitjFNZHzNv+55Qnqx9C2Lcp3Pv36D4AnV370M2lgW+aKrOh5VfKuwCrvDTLF78Ofkcz/VcpH35dmRFHiyf31qxTxaNRt0YHO64+TeQKMzD9/JWrMCP1ypf707q/q+UY81mpTlbrxtg2bmA0KiS2WICMlICbNiie08oephFsbZrPi2A5aPYhr8Ns7sRe/mnkLDBzd8LHG5eITq0xuD5TCHD+O6a40hJB2dQXrzc4J17JyzkYpLRLARz0c6VNJ1U/oEzynxMcvBzg+2kcWszLvQ1WVoDw=
-----END SIGNATURE-----
###
"
17/5/2025 15:38:56,Física,4to semestre ,Para ser regular o adelantar alguna materia y poder meter otra durante el semestre ,No,Computación ,Ecuaciones diferenciales ,Mecánica vectorial (la teórica) ,Gastar demasiado en el viaje de ida y de regreso de mi casa a la facultad ,1,No he tomado uno nunca ,Que se abarque en su posibilidad el temario sin saturar de información ,"Sí, me gustaría y los tomaría","Creo que deberían anunciarse más, como en redes sociales, instagram, Facebook o quizá que los profesores dijeran que ya se abrieron ",Ojalá que si se abran ,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""d302446233192abfbd435bcd27d49834e82908c51d48e3cbf6cad201b64ea0a6""}
-----BEGIN SIGNATURE-----
O+5oaimqgkDrkYR57CXddAu6kp6xawt5tYJia+nP7Elw4PIj/5M30D76wW2vk/vIYp5n6cz+1+nnmQ+W2KbGwD1g6DOPiaCgbwWVSJS7WEGC6MHlOUOVH43Q8z/4i/60nF8oZuYLWcgoynr49renldyXxya36xhv7qkLeu1J5qEl643Tv/A44Jq37b4Ywv5Z4KBrEnhvgETarvt8o0jX06H3Ige//CuaU1/Upp8kWeiaLwr7igcex15RdlfO0GY8TuxbLFhlLD5CH/YGETpVleFnXn+B5eN1FMLPi18Qs7gqnBFBL24CaKL96t+ZY7tqPPdWznh/zJF67xaXV+OgOyWK2GiNgqzxpaJIM1xxT2U8DME6NRGzMbk7YtTqD1Sx49Z6tvwBuuSi3PIjt8JTU9ikCKsHQOaZeCa2Tk4ZSMsTnXUvmwhBN4x+g64vOSoSBHhycw9bFqPHOBg3fy06AB8K4iqGJjteOaR8xFeQc7rpEI82ufw8FHu8CyegcJ/okbTTDRdIu9+GCP8yCLNJc3gI9XnjaTre2O/cVbyqpqXGo5Pj0U7Cm0NFYSx8Gtf95nfQXIIsqtti8NhVEc09gUiGC6mAGaSMcnO1JLbGJMJwM+huCKCR9Qc4OV1vlICgigVLQJAHhIemo1XKiiX6u82gEwKsZ+916FshYnueptM=
-----END SIGNATURE-----
###
"
17/5/2025 15:41:48,Física,7,Regularización,Sí,Óptica,Laboratorio de Óptica,Electromagnetismo 2,Es una cantidad considerable de horas al día para una solo materia,5,Considero que el curso que tome en intersemestral tenía el mismo nivel que uno de semestre regular,"Es esencial que los estudiantes cuenten desde el primer día con información detallada sobre el contenido del curso, el cronograma de actividades, los métodos de evaluación y las expectativas de desempeño","Sí, me gustaría y los tomaría",Pienso que están bien.,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""00ef77ea935c1d640a6432be9bd1fe01fe5f9cddcf4030f2828e926be88cc457""}
-----BEGIN SIGNATURE-----
HzGd3cx/uCJmxYgq95np2unmn7u7bSpv75VgmZPPbnd/15Prz2IFk8h9DuM89kbw3FBTCOIaWj2nCkUFgDLb0KgN/jhD68XoKuWuXWrr8bT6+SeDzEmw7+FiXNnhenzD25t5x+LnyRoA2uW/YvbYYB4UfPCoUOFCelIjrzehHkw36OmLXl3hDMyypR6peMaqI6WC3LDFXbsz4G5OuvQh0B/db6ZpsN43/PgrSBwr266I7x4VERO9tp2eVGHBvUTZAjdspxmJ/6mbRZc8Sp2IX1aIOc4FnRpJpGwhgldB9xAfdPRV2NNB0TVqXT23xz3aXN35GAPimqxG5oQfLwyQGfrQ/6PskwW3HBs4gxYsDwgjIHpcQDIJ0+kObYhGlUSV0cmzHZAvjd7G4RLZkXPUFeSm7mSUcF6jJoyXU4IPoGD43tP+Ild0rMw01mq91PfAw4F6uDzcZyNSXVnsNIdIjIBX1rH83kJGtl949Z3benKOGYXbO+cthFFi84ns415oN4P/tNteMOC7uJ9XnFeHlWdgvEEkA/c58Fvf1sQLRjXN9TkU/9bBIeOfKRkxnATviGuq+3hDH096ZBzfFhywfM5a8DdOp25f7MUJytQmNQ49QwVcZu1UeZhY/eTvC61OfqoEVU+B6CJOFa0i8vXZTNJO3fY35hXVILnoajy5LNA=
-----END SIGNATURE-----
###
"
17/5/2025 15:50:34,Física,6,Para complementar mi historial académico ,No,Termodinámica ,Física computacional ,Física atómica y materia condensada ,"El horario, si fuera en línea, estaría perfecto.",,Nunca he tenido la oportunidad de cursar.,Considerar a las personas que trabajamos con un horario vespertino.,"Sí, me gustaría y los tomaría",Tomar en consideración la demanda de los estudiante y a partir de ahí considerar la apertura de los cursos.,Considerar la opción en línea.,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""3c1685eb5b7ec4384e39fc01cbabae26d55a6075b4e84b9393d31ce0d5ab9b51""}
-----BEGIN SIGNATURE-----
uvfXheBhhKX4tGywCe40rSINDdp9twiU+PUnQAREq2dRaq+Qvq7hcjcT/3YhReK09R9fa7Qe9zKwZ4UXBQipeLEcQ1i8/ETw3SlPrsUAhqa0ILxlLBCruy2msNQjA27JKfy7r3uokLBvrTPXSASwGPU7Pq1hRUrwIK9PkwVD4VuN0uzzbwmUqdC7tSnqMDAtHvLURfTL5Pop7z+a48xim6gUrwQVh+A6kgVtoWX+uHKuZUkQcv9tXDGhzx59BwiVPwrI4GbW0EhVVQvfbgMIl+EBizR65Ot88hnEcpNAYngqYgmUZ5pCx1SJWPVcR4R7T+8td2pHqwzaeLPlyBeyf1R0eykxzGwbljOTMrMcahVn241fBIkehuG1Roe94/eRozxGpDsw+iZs0du8fwE9p1ngCcGp6vYd5HM95BgkINYMsNJFb7x7R3dfpDDel88OwSdCaaf+WGjALC+HxA1H2PZKCAwSXcoHEwVqTC6jcdaoqyK11/5BGRb58F2mgtktvE3PtNXSCF5zSk6cngJEHtWLqD8Km3vT/CxrybStUdvyPS64TNZKi5ah7c9tHK2SYAQrELdJiZG8kS7a5Brua9h7F/tUhF6ALoe6/HBBAVzXBTXe2sy5CHNjnvgi8Tv4mTWBS1bu4yZNY0YJJQWtEra5iLyJWzrY30zjTkYgor4=
-----END SIGNATURE-----
###
"
17/5/2025 15:58:53,Física,Octavo,Para terminar a tiempo mi carrera sin cargar el próximo semestre con muchas materias.,Sí,Óptica,Matemáticas Avanzadas de la Física ,Laboratorio de Física Contemporánea I ,"A veces se vuelve pesado estudiar muchos temas en un tiempo algo limitado, pero sí se puede.",5,"No sé si ha sido suerte pero los profesores que me han dado Intersemestrales han sido de los mejores que he tenido en la carrera, alto interés en el aprendizaje, más dinamismo, más confianza, etc.","Clases ordenadas, buenos ayudantes, un buen profesor y descansos estratégicos.",No me gustaría,Tal vez hacerlos con un poco más de tiempo de anticipación y que la inscripción esté abierta un poco más de tiempo.,"Son excesivamente útiles, son importantes, no deberían ser tan pocos, debería haber cupo suficiente para todo aquel que quiera/necesite cursar uno, al menos para la mayoría.","###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""cf39ea58295011e62b5e5c567e2fee12dacdc8c9862964a502961e1c5df729de""}
-----BEGIN SIGNATURE-----
Ik2seaXRKg9burWwwjzqn61tfvjs834BEqc1LSkr62DlaGregDSBWVCTqHBAcV92YXnCW6eNhx11oeN87XrSBmfhRoKfT0JbWw44DU+5FyZOgtgFWEA6qNCCZv3odIjdq/YcsT0Uw4deGPWou+OqcmrAhqzNxuttxhrlzVhxrLTlEcnNaajfzXXTiQsNHZ7Q5Y057Wfx0xOtElHS7NElIlSdpmQNkeImzNp24aHfl8S8U1skh+QhXoY91OBJW6yMM1k82gwLXJZgcV9r0UWEDrKVe5BGUFPzPkuurOs2rI9bcuZc01JFxs92934OUOXdmuqWaIE3HRUNHygOad8O94XILzfp1VQgCGXRyrh2Qn/S/Xk+AhBEOtFyOE5w34VHZHrsDGDniVsgcNqajfFVdrywR4pzPIFH7uYOF2TrZt76on2GTOxhOyrtYaZ0xgBB4PyU5ojXDTIHUFnUA3WzUg5wBHKH0woC2p64oVHp+zZamNWsrx7JLfKhsygH3YYcVcCezOoWQRgNaur2gvISvWZbBiCHi1fbrTkVDyaISeq/t9avxHo2ad0E/cDCHJUAdhBMg1wHNkp/Ha70HRN5aPyY1cxf6cdmGiSodSgZkMhzlZx6mjWC1b8lM7ZcJ0AuHpQu1p01+ENZVTxd/8m8RkGLZXDCazgh3XrpexOE5Q0=
-----END SIGNATURE-----
###
"
